,EncryPatchName
0,_-14438.530457646242_14088.787075260363.png
1,_12509.242406051171_-18217.105147306935.png
2,_11176.991665829_-9314.483078089308.png
3,_-30929.44837744137_15606.99304471677.png
4,_-11836.074801147326_4611.1902807458355.png
5,_-4913.0429166872145_3825.524554735534.png
6,_-29213.80093345795_20098.179496305023.png
7,_23170.317583969983_17853.992029641344.png
8,_10943.776857195775_12709.292670628462.png
9,_-13343.18356075815_-2009.6963062134187.png
10,_-5513.015624463429_-10245.17850144992.png
11,_-21369.86093098124_-1862.5470369264513.png
12,_-8314.204969274482_19851.043420360522.png
13,_22216.828731659527_-5672.283740995437.png
14,_-2021.8970904977773_-10219.16251130877.png
15,_-7453.389313249198_11724.231212667986.png
16,_20590.090016640734_1703.4585785481186.png
17,_988.5899446554496_5743.89281914102.png
18,_17472.02796052778_-3773.3309611272443.png
19,_-10960.117647860592_12480.05612255353.png
20,_-9684.065716778758_1815.1292737269703.png
21,_-10301.896594970887_-6037.955889965061.png
22,_4571.149125911581_-329.2351133966383.png
23,_618.3553398219681_18265.711055646312.png
24,_-12150.773440694682_6452.873515642579.png
25,_18235.84464349111_-2774.540893576412.png
26,_5743.906629504939_5317.345775108558.png
27,_618.0713538006919_1854.9731183939703.png
28,_-9003.980471362464_6778.4131782892955.png
29,_695.0201332733964_-446.1049390912617.png
30,_3450.915265331145_-1863.1220544515745.png
31,_-11030.846131539447_-170.1786425282154.png
32,_-6236.251362227202_-1949.6026521540107.png
33,_497.1260128082256_-6268.7565653294205.png
34,_577.8676295105881_-7055.333058931136.png
35,_-10062.80044998288_6995.600620443349.png
36,_-1471.03219228457_-3535.0373709826044.png
37,_12924.543253195767_351.5848311537228.png
38,_-2127.2174815221692_-1562.781719917009.png
39,_-2517.5800115500397_-3769.6364821970865.png
40,_-1321.722195469273_7040.701120225457.png
41,_-5341.517704134825_652.1734036945409.png
42,_2604.4557228124636_3088.3527613128667.png
43,_-1701.5045099558629_-751.7352924760055.png
44,_58.840910081457935_1956.9878665354663.png
45,_2584.2192763782455_2641.343936555722.png
46,_-1842.5966009989838_-2419.913559757222.png
47,_2250.9328606887166_-560.8015467767225.png
48,_1664.9539989360023_1083.705708080104.png
49,_-1113.871675236647_841.5492077181282.png
50,_1250.0972913622643_846.534551097731.png
51,_632.6026689342957_1204.0381364738014.png
52,_228.79019258125646_991.6281137894481.png
53,_-44.670060419784704_-12021.145621176756.png
54,_447.1817792746547_6530.014442589605.png
55,_-16161.10889166133_19041.740248833703.png
56,_18484.316449386486_4179.044071329401.png
57,_6314.485839937284_24701.095466472172.png
58,_-25158.592520586546_-7443.456521793509.png
59,_4049.441657109272_3444.3410155251113.png
60,_9867.26321864111_3792.966797609601.png
61,_11554.60430364304_7594.041470416093.png
62,_-6588.037757169775_1566.7863037447462.png
63,_13074.128556388965_7620.3110866197085.png
64,_37415.90623784169_-6056.733885230788.png
65,_5748.9325709495415_-19725.82973439836.png
66,_15179.864903154887_1020.8892230453996.png
67,_-6334.12428548239_1389.5598079857282.png
68,_14754.054372564695_8549.227484832165.png
69,_14335.176968140959_4882.145536912214.png
70,_-15279.403552443522_22173.20503727272.png
71,_-4570.624225645029_8482.771767657792.png
72,_7336.077463341723_2184.4674556310174.png
73,_2696.5801307235015_5124.834879062485.png
74,_-15212.558033530098_4901.209663017768.png
75,_778.1253040278073_9785.737752177514.png
76,_7912.8649191578725_2417.7440789350685.png
77,_-5761.854079644485_1343.2687673511186.png
78,_-5298.296195318077_11124.038228871412.png
79,_-6350.311076041285_-1601.0353267002602.png
80,_-8631.428177391965_5491.025026883378.png
81,_-10612.632728674807_4393.778853391101.png
82,_11610.162597596944_3435.0823695239483.png
83,_27320.31076520818_-4279.500752091421.png
84,_1596.0464900871627_9688.866980295226.png
85,_-5553.7985123427225_2565.2196330219367.png
86,_-2913.4253375151766_756.6298652629218.png
87,_3248.5229240763206_-4068.337302755607.png
88,_1883.9286679792756_-2231.5319206793947.png
89,_-0.1636885874781342_-3502.25328639275.png
90,_4825.352673256874_800.4869599696243.png
91,_3484.507820601921_3072.286698789092.png
92,_-3493.084710349824_1161.6429173229753.png
93,_-371.4933994494563_1775.4733890063605.png
94,_4104.735489257064_8515.95835119294.png
95,_-676.565929207798_-4820.180608597417.png
96,_-1286.8997047902685_3736.162854501262.png
97,_879.7812406253606_474.9651868302594.png
98,_1715.7553619992539_1722.9983558011604.png
99,_1267.840957468506_332.78857247038127.png
100,_1487.0668471398283_-382.90791439940926.png
101,_187.329317203936_-126.2370435916946.png
102,_-1535.3653622504776_1802.063615092116.png
103,_-153.6362497607676_-184.20628906066258.png
104,_-507.89768605509187_1610.5359638761688.png
105,_305.5080685364575_770.1794224040971.png
106,_22781.824689596287_3911.8832035590417.png
107,_-22384.006119096546_-24596.27218605555.png
108,_-4560.524324133505_1455.8045377885362.png
109,_6587.533768598751_7814.93739238042.png
110,_-17124.415893377525_14117.625419467906.png
111,_-8201.123979643702_-6785.364929607064.png
112,_25981.710458786914_7733.354378482634.png
113,_-23396.042698896872_4551.425688458157.png
114,_-5076.330020917313_-21952.846696218687.png
115,_-25022.820173408214_-12269.790338478155.png
116,_28026.186683573607_-9263.072217722132.png
117,_-10785.469692508937_7546.3941536435295.png
118,_-4148.913103956338_4819.039321119737.png
119,_8949.166738054182_12602.900773229552.png
120,_5892.1231240219895_-548.8389798573262.png
121,_-2187.7537204549712_-5757.324195325274.png
122,_-17471.090764431778_11594.104051819908.png
123,_-17211.916773985242_11440.701795979476.png
124,_-11832.705214960439_-7970.526794240381.png
125,_-7896.85580060846_-5478.135090239398.png
126,_25145.415094969947_-9326.627382472741.png
127,_-5642.005632804496_-2598.7461011966625.png
128,_5438.161266676394_2813.161409199278.png
129,_-14091.896812765342_-16095.041766182647.png
130,_-3628.292377866822_2556.120942339698.png
131,_-5205.426864276361_6704.577192882096.png
132,_4152.5732309099285_1710.3135407535883.png
133,_10895.533386371551_-3486.0324076657735.png
134,_2581.1270045932533_-1419.943203917796.png
135,_-1927.9118020225128_3603.2297928837197.png
136,_-958.3537844582063_6885.450720842036.png
137,_-2013.507737358249_264.638569229686.png
138,_-5780.716755183128_796.4163964397603.png
139,_6170.930620594026_8637.72907005269.png
140,_3968.3213915391975_563.8788822618335.png
141,_-2027.8697842922193_4714.300662901502.png
142,_-940.4874011730094_-2485.070542718103.png
143,_12123.038680552758_7289.582855674948.png
144,_-3977.3642762635554_-7041.060754729592.png
145,_3554.04837562947_-4889.80158850619.png
146,_-5858.615724843569_1460.7663045890167.png
147,_-1175.0531737575625_-1414.3897583066473.png
148,_-3709.053009199587_-2630.222951796198.png
149,_8000.293020530845_2403.750667216116.png
150,_1363.2762622536015_1336.940629259026.png
151,_350.3103410746217_-1365.7733163451303.png
152,_2825.7437177820757_-388.0943767082308.png
153,_-1435.6091237603894_2601.505063828317.png
154,_514.1308779592456_1046.0374418190659.png
155,_-1482.0659611990893_-261.37594304453114.png
156,_318.9733067984746_592.0904888962841.png
157,_950.6423004364424_1522.9054387184574.png
158,_348.5444336247378_912.3816260150192.png
159,_980.8124188069653_14613.295758680139.png
160,_-27580.078019693312_-8058.998649347759.png
161,_9076.435035921986_-9609.318052538947.png
162,_13862.719304718521_1155.0972237774652.png
163,_11535.681817353443_17052.284099940844.png
164,_-13930.002510271415_-4898.172865530454.png
