,EncryPatchName
0,_-25289.999387265878_-14951.148679466492.png
1,_-13339.456306456621_-6496.551236024271.png
2,_-18014.761173470637_-9384.95172501421.png
3,_25483.383076434886_-16941.317563858127.png
4,_-11166.4145110648_6594.829816666211.png
5,_29619.147894600792_-7138.13317070191.png
6,_-4475.174875634015_-7819.593275303771.png
7,_7216.97892911353_-22764.818872443117.png
8,_-31814.522825063395_-10966.808187610659.png
9,_-9522.902025806952_1693.8497980373172.png
10,_10536.861310815975_-6135.641565734716.png
11,_101.51003592946716_23016.12365559088.png
12,_-28553.588730474425_-13457.977477661398.png
13,_9982.888852024878_-1730.3603294992126.png
14,_-11213.45194436128_5738.225603057027.png
15,_7560.8913582416135_-2167.7730786975944.png
16,_14709.714801377819_-2947.6817396328443.png
17,_-13810.29585736806_-18000.545643441023.png
18,_-21223.982855481616_15127.859909457784.png
19,_-5480.16299001411_3689.9035438665837.png
20,_11470.992042051394_5872.116626215193.png
21,_-984.4505061736274_6126.919447263082.png
22,_12379.3464445483_5491.900259503081.png
23,_-18532.759705295717_-7665.368222165622.png
24,_15629.90796798364_6804.023766838596.png
25,_-251.4644344514361_-4552.561800983918.png
26,_14781.572076339393_-4974.557167858074.png
27,_7519.9057851771095_9677.886993991246.png
28,_9156.999492642328_-7544.710495338887.png
29,_-1371.659010152055_6467.406370571314.png
30,_11667.937526865231_-179.79087671491027.png
31,_9567.214290478705_-4793.263629439035.png
32,_8094.840185605109_7012.702209052982.png
33,_1067.4895189218364_-4288.598225744397.png
34,_1614.4503524101433_-2136.6348250202745.png
35,_5220.94500732206_-3246.493173061192.png
36,_1947.529682920383_2721.1912543479107.png
37,_2894.102296087214_4076.0429392156398.png
38,_-3258.1991726470633_5106.879028424691.png
39,_720.713278800859_-562.5595063274762.png
40,_-6229.680941933776_-4164.6939167741075.png
41,_-4387.5858445164895_359.8881076960343.png
42,_4169.038425537636_1037.4736141326484.png
43,_-5338.143038654212_-559.7166092256371.png
44,_-1518.7702916134256_1577.044994007259.png
45,_1318.62123325094_-1540.8649625835287.png
46,_-860.8089258144453_184.53827883995706.png
47,_-2272.794635718532_-474.02355969960263.png
48,_1248.3059351942425_200.25051805363415.png
49,_2421.666271325972_-1677.7630707885994.png
50,_394.15829431610035_189.02970559681327.png
51,_523.1326741966511_-13.342590891519194.png
52,_630.0512856619556_333.9001377433027.png
53,_-23119.446192412448_-9938.99991769956.png
54,_1582.6680280806588_14704.606155181964.png
55,_4530.362106771849_-3397.3632994087097.png
56,_-21750.067879081325_17811.77931118783.png
57,_-19894.352387059385_-7552.11459795074.png
58,_-2279.859053678578_-2043.7137396875914.png
59,_2735.516024692805_-2008.0571641824317.png
60,_27191.872018671624_-12766.072090393574.png
61,_-7520.979949466774_5367.512407717279.png
62,_-12193.383760810995_1206.1842927407597.png
63,_7405.894228387805_-1565.1342560688663.png
64,_-1603.4574186732107_-13289.866994298121.png
65,_15898.432341424394_2871.373402806307.png
66,_1628.7599650188133_-1055.2171143912935.png
67,_5369.760368068944_-11766.240344949665.png
68,_16197.594249172189_-7982.476103282923.png
69,_-13489.856683735852_-13913.994355362782.png
70,_6502.319446111653_6228.49552777666.png
71,_12841.651143393261_13464.05178491016.png
72,_-6984.89015883495_4166.192106539647.png
73,_11629.583627767024_-16550.740854963937.png
74,_351.20201165168663_6866.9018161618915.png
75,_9187.74349424654_-1701.3779535613028.png
76,_24591.427518411583_-8744.09311672067.png
77,_-14150.688866862172_-1246.768895018946.png
78,_-3020.3588363002073_-4095.6815284367412.png
79,_-16693.42578436692_736.5410087201916.png
80,_17676.068730919047_10356.42352726859.png
81,_1825.198153741999_-1713.2130778562855.png
82,_10540.464570060452_-273.7700809117984.png
83,_18221.233459345338_178.46644110647765.png
84,_-3062.097742540197_4335.672004006995.png
85,_6287.1634551575635_5945.528530397134.png
86,_2459.9042069284283_-3392.923486243639.png
87,_2376.7770173174135_4885.791244592844.png
88,_-2883.7374972226157_-699.8367915489883.png
89,_1695.2338911810252_539.4569273922586.png
90,_4551.344546166646_-4368.586626033843.png
91,_180.9664666989679_-4969.96912485181.png
92,_4082.7679670128914_-4814.049951169957.png
93,_1098.635794579088_3441.8319463710313.png
94,_1295.097006585925_483.56217155958535.png
95,_5533.96195052399_-1576.2630458569581.png
96,_1874.8909126852434_-517.8476456560468.png
97,_-3220.5603306524736_-274.03567104566986.png
98,_831.9700609398595_2410.1906662905553.png
99,_-360.8404500783355_-2118.1616540170476.png
100,_776.5356796141405_-2920.5176112849.png
101,_-768.683193159206_-241.47584467152933.png
102,_598.3057636184994_985.2462607954744.png
103,_-894.6229933477202_-380.7491547204536.png
104,_626.792504787333_266.61492946902274.png
105,_1191.2557984988216_379.93281118421834.png
106,_-24028.60896036284_22223.021050299216.png
107,_-14463.969522562593_2647.9293398850323.png
108,_-2317.35795176174_18542.43525410962.png
109,_-9006.155104665719_-201.65064464978946.png
110,_7857.861223611034_-1558.4474912497915.png
111,_24201.454653021065_-842.8245418407846.png
112,_-32941.84154436809_5228.74942971023.png
113,_-11853.417631695744_-8172.589329978771.png
114,_-28445.232833264457_2955.8537314870846.png
115,_25910.395300185803_25.075023898063066.png
116,_22.515330627139406_15332.832793783842.png
117,_22384.082718433394_6791.984455969113.png
118,_12833.665024289696_-8205.47292478137.png
119,_-18777.897377022604_-1272.6043879943406.png
120,_-6842.535230792199_-15255.7178156511.png
121,_5859.395896073159_-1343.6887514330735.png
122,_7465.196868333443_-9105.543607216488.png
123,_-7253.5395144296135_-8807.864552530413.png
124,_9722.450284148432_1946.4554881004067.png
125,_-3782.221453494737_-332.046918241968.png
126,_7592.364129581278_10713.696932471055.png
127,_-18333.02661457298_-5376.6836020515975.png
128,_11030.636176318492_-1451.0297876805198.png
129,_-10627.541126205026_11635.132683126712.png
130,_-6113.255200176465_-10525.456437284634.png
131,_14858.707813994379_3941.940549163421.png
132,_2299.9636705318476_4129.3680482431455.png
133,_11860.544086497395_-4410.052127401294.png
134,_-11834.863539972092_77.89204126645919.png
135,_21826.795115493278_8232.840091120685.png
136,_-6993.202972379998_2283.661927810478.png
137,_-891.6397168053982_10126.409911510573.png
138,_-11405.902299476083_-5289.344511647077.png
139,_5860.87427004333_-3365.951663104687.png
140,_1827.7220523450821_3313.4452887264715.png
141,_2792.6290313044824_-4965.684802508921.png
142,_-6815.722345925876_-2426.0042143664045.png
143,_-6357.720134670531_-4087.225155946735.png
144,_-311.948808790058_4145.031829976184.png
145,_880.4955911808986_-1293.2792116229855.png
146,_2536.0763916269443_-3017.5286633657192.png
147,_-1244.7497163958174_6158.527472158601.png
148,_-6583.410748630257_1635.1985039116428.png
149,_4429.329167913842_-97.26437416911841.png
150,_1290.2990987546173_2790.8187984789397.png
151,_-431.85690954721736_1351.237124222226.png
152,_1308.3113157346716_-1887.8389511166963.png
153,_-1771.5547517119444_-15.628321990965873.png
154,_189.04870854464468_1112.7368944261063.png
155,_-413.1437406848472_-465.05150094367866.png
156,_1.8928361465156058_-1457.841615271031.png
157,_605.4158724629716_123.7477523734793.png
158,_693.2280694093622_117.24303810627205.png
159,_-7947.742829337985_-10220.628987122984.png
160,_-9209.39478428748_2769.539763526808.png
161,_27601.590943844552_16969.530403851728.png
162,_1640.0115544942053_12507.621460361312.png
163,_-1567.434672508869_-13927.992131032732.png
164,_-17047.090264020117_26781.985535463744.png
165,_11256.414857484875_19968.89765603949.png
166,_-13703.574756307395_3072.3480790289436.png
167,_-29351.2602247405_3849.3824785396178.png
168,_-8472.706111631263_7192.6945451817555.png
169,_-10639.33991107402_-6914.246878185721.png
170,_-3774.0913270138417_585.8946009914032.png
171,_-12750.336667641881_4456.550825976801.png
172,_6737.1979089670995_-17128.651115048746.png
173,_23676.84680646584_-830.9408352708871.png
174,_-12790.943340036485_6102.447182894334.png
175,_-3759.3997925957683_-8562.66131871278.png
176,_12690.90479318056_1856.7126273139854.png
177,_-3498.479564557296_-2727.807708843483.png
178,_9818.769822469903_-7236.735644862927.png
179,_-9248.555472490574_6500.550471893498.png
180,_-6747.471352303736_9686.87316233242.png
181,_-1748.65316433643_-1639.9922855341715.png
182,_-19553.58141181352_-12239.171165761145.png
183,_8805.507149499277_-12372.736064326817.png
184,_-15385.751045615492_-7468.184112614096.png
185,_-9030.04057521362_-8109.386309768992.png
186,_-12241.723049718737_2596.3634562073235.png
187,_-1231.8594203639113_10697.144774251654.png
188,_13833.486270835292_8731.770767164353.png
189,_3588.5140097828867_-1710.2981949491427.png
190,_-1738.436567875372_-4357.3847166841615.png
191,_-4226.437261633802_2449.799120640223.png
192,_-2523.7915637867977_2728.0825670522463.png
193,_9743.649715617998_2779.9822242930827.png
194,_-3938.356550213979_3700.6360031953404.png
195,_-5184.517794022891_5724.883751118522.png
196,_-9656.31391914822_1143.8303650811854.png
197,_-3630.012513955103_2551.136048148659.png
198,_682.3615122009871_2865.7646606328503.png
199,_9525.429226399481_-2486.82198647717.png
200,_-5830.619120627116_2051.887401063921.png
201,_9363.067782846982_1106.9381064705353.png
202,_-779.4526239519591_4586.466758842224.png
203,_3643.5706320315853_-604.5749979038421.png
204,_295.46716432866594_-1305.8683846316458.png
205,_-1094.5710682690035_860.0861584032175.png
206,_2335.8303157984146_-675.6497343209124.png
207,_-1413.8869420388128_-553.5434652987045.png
208,_-319.79076039769313_296.2766966371917.png
209,_458.4512441298177_-81.58710422770855.png
210,_686.3151698377467_942.0298703589225.png
211,_715.3106124330856_76.92222229613009.png
212,_26678.66363579023_4079.1161360103038.png
213,_-9621.393076907052_1154.3701897411997.png
214,_-8497.142277238052_3880.9716313942918.png
215,_-2554.7905900786386_-16335.300281643056.png
216,_-13656.896842361033_-29418.92692096355.png
217,_18906.077136866454_415.4273872668063.png
218,_-5023.437046657433_10249.97185726635.png
219,_-22826.97332114107_-14893.456669407293.png
220,_6325.755521438228_2912.4495726437835.png
221,_-9005.88141833109_-14818.125993729987.png
222,_18303.084895015178_8298.318868318183.png
223,_9823.850802603327_-12498.584872587031.png
224,_-23244.705180440502_11324.41850239971.png
225,_22272.30319450538_5362.432428906653.png
226,_-10124.206777820908_16226.160479925064.png
227,_-26120.547779696564_-3550.9799742487444.png
228,_1851.3891019365092_9431.518248019642.png
229,_-3843.0678873274665_508.0881922294928.png
230,_-10869.75117814648_-5204.927018696436.png
231,_6783.623162654683_-7171.405991251874.png
232,_1155.9712628126467_-4713.810350559817.png
233,_16910.95856271999_-6791.498126497469.png
234,_14166.203829704204_-5428.110370507475.png
235,_18921.533673830407_4493.4619573690525.png
236,_-5337.127999000861_-2326.341300221148.png
237,_-846.4397730454114_1350.567666915224.png
238,_1862.7177191017759_9097.514511119849.png
239,_12283.942595632814_647.5367052235243.png
240,_-1089.062480640523_5156.972846766095.png
